"？？？","???","","","???"
"一同","Everyone","","",""
"全員","Everyone","","",""
"３人","The 3","","",""
"静香たち","Haruka's Group","","",""
"美希たち","Miki's Group","","",""
"心白・亜夜","Kohaku & Aya","","","Kohaku & Aya"
"杏・きらり","Anzu & Kirari","","","Anzu & Kirari"
"伊織・あずさ","Iori & Azusa","","","Iori & Azusa"
"静香・千早","Shizuka & Chihaya","","","Shizuka & Chihaya"
"杏・菜々","Anzu & Nana","","","Anzu & Nana"
"亜美・真美","Ami & Mami","","","Ami & Mami"
"真美＆亜美","Mami & Ami","","","Mami & Ami"
"亜美＆真美","Ami & Mami","","","Ami & Mami"
"蘭子＆P","Ranko & P","","","Ranko & P"
"P&蘭子","P & Ranko","","","P & Ranko"
"春香の声","Haruka's Voice","","","Haruka's Voice"
"真の声","Makoto's Voice","","","Makoto's Voice"
"菜々の声","Nana's Voice","","","Nana's Voice"
"翼の声","Tsubasa's Voice","","","Tsubasa's Voice"
"甘奈の声","Amana's Voice","","","Amana's Voice"
"きらりの声","Kirari's Voice","","","Kirari's Voice"
"歌織の声","Kaori's Voice","","","Kaori's Voice"
"伊織の声","Iori's Voice","","","Iori's Voice"
"Pログ","P (normalized)","","","P (normalized)"
"蘭子ログ","Ranko (normalized)","","","Ranko (normalized)"
"（蘭子ログ）","(Normal Ranko)","","","(Normal Ranko)"
"青羽","Aoba","","","Aoba"
"千川","Senkawa","","","Senkawa"
"七草","Nanakusa","","","Nanakusa"
"サウナ好きのオッサン","Sauna-loving Old Guy","","","Sauna-loving Old Guy"
"ペンギン","Penguin","","","Penguin"
"ハム蔵","Hamzou","","","Hamzou"
"子猫","Kitten","","","Kitten"
"猫の声","Cat's voice","","","Cat's voice"
"子犬","Puppy","","","Puppy"
"子犬の群れ","Puppies","","","Puppies"
"安楽木 ユミ","Yumi Yasuragi","","","Yumi Yasuragi"
"Mr.木間暮","Mr. Kimagure","","","Mr. Kimagure"
"織田 芽衣","Mei Oda","","","Mei Oda"
"トゥインクル・巌","Twinkle Iwao","","","Twinkle Iwao"
"将太・イムラ","Shouta Imura","","","Shouta Imura"
"ＴＶアナウンサー","TV Announcer","","","TV Announcer"
"アナウンサー","Announcer","","","Announcer"
"振付師","Choreographer","","","Choreographer"
"司会","Host","","","Host"
"ルミナス","Luminous","","","Luminous"
"ディレクター","Director","","","Director"
"番組司会","Show Host","","","Show Host"
"スタイリスト","Stylist","","","Stylist"
"ＴＶディレクター","TV Director","","","TV Director"
"カメラマン","Cameraman","","","Cameraman"
"現地調査員","Field Investigator","","","Field Investigator"
"司会者","Chairman","","","Chairman"
"ＡＤ","AD","","","AD"
"番組ディレクター","Program Director","","","Program Director"
"占い師","Fortune Teller","","","Fortune Teller"
"監督","Director","","","Director"
"パーソナリティー","Personality","","","Personality"
"デザイナー","Designer","","","Designer"
"店長","Manager","","","Manager"
"記者","Reporter","","","Reporter"
"記事","News","","","News"
"スタッフ","Staff","","","Staff"
"美術館オーナー","Museum Owner","","","Museum Owner"
"番組スタッフ","Program Staff","","","Program Staff"
"メインパーソナリティ","Main Personality","","","Main Personality"
"雑誌編集者","Magazine Editor","","","Magazine Editor"
"店員さん","Employee","","","Employee"
"芸人","Entertainer","","","Entertainer"
"編集者","Editor","","","Editor"
"編集局長","Editor-in-Chief","","","Editor-in-Chief"
"クライアント","Client","","","Client"
"姫役の女優","Actress as a Princess","","","Actress as a Princess"
"バーテンダー","Bartender","","","Bartender"
"店員","Employee","","","Employee"
"雑誌記者","Magazine Reporter","","","Magazine Reporter"
"ＴＶ関係者","TV Participants","","","TV Participants"
"業者","Trader","","","Trader"
"パティシエ","Patissier","","","Patissier"
"店主","Shopkeeper","","","Shopkeeper"
"演出家","Director","","","Director"
"ウェイトレス","Waitress","","","Waitress"
"配達員","Deliveryman","","","Deliveryman"
"企画者","Planner","","","Planner"
"会場スタッフ","Venue Staff","","","Venue Staff"
"場内アナウンス","Hall Announcement","","","Hall Announcement"
"アナウンス","Announcement","","","Announcement"
"学生Ａ","Student A","","","Student A"
"学生Ｂ","Student B","","","Student B"
"男子学生Ａ","Male Student A","","","Male Student A"
"男子学生Ｂ","Male Student B","","","Male Student B"
"女性Ａ","Woman A","","","Woman A"
"女性Ｂ","Woman B","","","Woman B"
"アイドル","Idol","","","Idol"
"アイドル１","Idol 1","","","Idol 1"
"アイドル２","Idol 2","","","Idol 2"
"ギャラリー１","Gallery 1","","","Gallery 1"
"ギャラリー２","Gallery 2","","","Gallery 2"
"女性ファン１","Female Fan 1","","","Female Fan 1"
"女性ファン２","Female Fan 2","","","Female Fan 2"
"律子のファン","Ritsuko's Fan","","","Ritsuko's Fan"
"律子のファン１","Ritsuko's Fan 1","","","Ritsuko's Fan 1"
"律子のファン２","Ritsuko's Fan 2","","","Ritsuko's Fan 2"
"静香のファン","Shizuka's Fan","","","Shizuka's Fan"
"翼のファン","Tsubasa's Fan","","","Tsubasa's Fan"
"ファン","Fan","","","Fan"
"ファン一同","All the fans","","","All the fans"
"ファンの声援","Fan Cheering","","","Fan Cheering"
"お客さん","Customer","","","Customer"
"お客","Customer","","","Customer"
"観客","Audience","","","Audience"
"騒がしい客","Noisy Customer","","","Noisy Customer"
"リスナー","Listener","","","Listener"
"こども","Child","","","Child"
"こどもたち","Children","","","Children"
"女の子","Girl","","","Girl"
"男の子","Boy","","","Boy"
"男性","Man","","","Man"
"学生","Student","","","Student"
"おばさん","Old Woman","","","Old Woman"
"老婆","Elderly Woman","","","Elderly Woman"
"ナンパ男","Playboy","","","Playboy"
"初老の紳士","Elderly Gentleman","","","Elderly Gentleman"
"お手紙","Letter","","","Letter"
"元気","Genki","","","Genki"
"ユウ","Yu","","","Yu"
"トレーナー","Trainer","","","Trainer"
"有名ディレクター","Famous Director","","","Famous Director"
"ＴＶ局社長","TV Station President","","","TV Station President"
"イベントスタッフ","Event Staff","","","Event Staff"
"通行人","Passerby","","","Passerby"
"かすみ","Kasumi","","","Kasumi"
"浩司","Koji","","","Koji"
"ファン達","Fans","","","Fans"
"買い物客","Shoppers","","","Shoppers"
"ボイストレーナー","Voice Trainer","","","Voice Trainer"
"マスター","Master","","","Master"
"小鳥の声","Kotori's Voice","","",""
"客席","Audience Seating","","","Audience Seating"
"おっちゃん","Old Man","","","Old Man"
"女","Girl","","","Girl"
"男","Boy","","","Boy"
"４人","The 4","","","The 4"
"未来の声","Mirai's Voice","","","Mirai's Voice"
"雪歩たち","Yukiho's Group","","","Yukiho's Group"
"千早たち","Chihaya's Group","","","Chihaya's Group"
"伊織たち","Iori's Group","","","Iori's Group"
"響たち","Tsubasa's Group","","Hibiki's Group","Tsubasa's Group"
"心白たち","Kohaku's Group","","","Kohaku's Group"
"春香たち","Haruka's Group","","","Haruka's Group"
"律子たち","Ritsuko's Group","","","Ritsuko's Group"
"真たち","Makoto's Group","","","Makoto's Group"
"亜美たち","Ami's Group","","","Ami's Group"
"春香・心白・亜夜","Haruka, Kohaku, & Aya","","","Haruka, Kohaku, & Aya"
"心白・詩花","","Kohaku & Shika","","Kohaku & Shika"
"真・菜々・甘奈","Makoto, Nana, & Amana","","","Makoto, Nana, & Amana"
"真・響・未来","","Makoto, Hibiki, & Mirai","","Makoto, Tsubasa, & Mirai"
"真・詩花・心白","","Makoto, Shika, & Kohaku","","Makoto, Shika, & Kohaku"
"未来・甜花","","Mirai & Tenka","","Mirai & Tenka"
"杏・甜花","Anzu & Tenka","","","Anzu & Tenka"
"春香・真・響","Haruka, Makoto, & Tsubasa","","Haruka, Makoto, & Hibiki","Haruka, Makoto, & Tsubasa"
"春香・美希","","Haruka & Miki","","Haruka & Miki"
"あずさ・菜々","Azusa & Nana","","","Azusa & Nana"
"事務会一同","All Secretaries","","","All Secretaries"
"奥空眞弓の声","Mayumi Okuzora's Voice","","","Mayumi Okuzora's Voice"
"２人","The 2","","","The 2"
"甘奈・甜花","Amana & Tenka","","","Amana & Tenka"
"若い女性","Young Woman","","","Young Woman"
"若い男性","Young Man","","","Young Man"
"女子学生","Female Student","","","Female Student"
"男子学生","Male Student","","","Male Student"
"従業員","Employee","","","Employee"
"子どもたち","Children","","","Children"
"美希・杏","Miki & Anzu","","","Miki & Anzu"
"美嘉・果穂","Mika & Kaho","","","Mika & Kaho"
"５人","All 5","","","All 5"
"７人","All 7","","","All 7"
"８人","All 8","","","All 8"
"１０人","All 10","","","All 10"
"亜美・真美・果穂","Ami, Mami, & Kaho","","","Ami, Mami, & Kaho"
"亜美・翼","","Ami & Tsubasa","","Ami & Tsubasa"
"伊織・亜夜","Iori & Aya","","","Iori & Aya"
"伊織・雪歩・真","Iori, Yukiho, & Makoto","","","Iori, Yukiho, & Makoto"
"果穂・杏","","Kaho & Anzu","","Kaho & Anzu"
"果穂・菜々","Kaho & Nana","","","Kaho & Nana"
"響・真","Tsubasa & Makoto","","Hibiki & Makoto","Tsubasa & Makoto"
"春香・きらり・伊織","Haruka, Kirari, & Iori","","","Haruka, Kirari, & Iori"
"春香・心白","","Haruka & Kohaku","","Haruka & Kohaku"
"春香・千早","Haruka & Chihaya","","","Haruka & Chihaya"
"春香・千早・美希","Haruka, Chihaya, & Miki","","","Haruka, Chihaya, & Miki"
"春香・美希・千早","","Haruka, Miki, & Chihaya","","Haruka, Miki, & Chihaya"
"心白・菜々・甘奈","","Kohaku, Nana, & Amana","","Kohaku, Nana, & Amana"
"心白・真","","Kohaku & Makoto","","Kohaku & Makoto"
"心白・静香・蘭子","Kohaku, Shizuka, & Ranko","","","Kohaku, Shizuka, & Ranko"
"心白・美嘉・甜花","","Kohaku, Mika, & Tenka","","Kohaku, Mika, & Tenka"
"真・杏・凛世","","Makoto, Anzu, & Rinze","","Makoto, Anzu, & Rinze"
"真・響・貴音","","Makoto, Hibiki, & Takane","","Makoto, Tsubasa, & Takane"
"真美・翼","","Mami & Tsubasa","","Mami & Tsubasa"
"静香・蘭子","Shizuka & Ranko","","","Shizuka & Ranko"
"雪歩・やよい・真","Yukiho, Yayoi, & Makoto","","","Yukiho, Yayoi, & Makoto"
"雪歩・伊織・貴音","","Yukiho, Iori, & Takane","","Yukiho, Iori, & Takane"
"雪歩・蘭子","","Yukiho & Ranko","","Yukiho & Ranko"
"千早・心白","Chihaya & Kohaku","","","Chihaya & Kohaku"
"美希・亜美・真美","Miki, Ami, & Mami","","","Miki, Ami, & Mami"
"未来・菜々・凛世","","Mirai, Nana, & Rinze","","Mirai, Nana, & Rinze"
"未来・心白","","Mirai & Kohaku","","Mirai & Kohaku"
"律子・あずさ","Ritsuko & Azusa","","","Ritsuko & Azusa"
"玲音・詩花・亜夜","Leon, Shika, & Aya","","","Leon, Shika, & Aya"
"ラジオ司会","","Radio Host","","Radio Host"
"子ども","Child","","","Child"
"真美・亜美","Mami & Ami","","","Mami & Ami"
"雪歩・甜花","","Yukiho & Tenka","","Yukiho & Tenka"
